DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-2462	75.73901401	Lara Scott
2024-04-06	BROADCAST	301-20386	74.30482308	Detroit Tigers Baseball
2024-04-06	BROADCAST	301-19127	73.934044174	Joe Benigno
2024-04-06	BROADCAST	301-13512	73.25115292	The Big Bad Morning Show
2024-04-06	BROADCAST	301-12118	72.697149347	Steve Harvey Morning Show
2024-04-06	BROADCAST	301-16626	72.684105488	The Kevin Sheehan Show
2024-04-06	BROADCAST	301-12900	72.540345981	Sean Hannity
2024-04-06	BROADCAST	301-2113	71.768904368	Hochman and Crowder
2024-04-06	BROADCAST	301-17613	71.362668912	The PM Rush
2024-04-06	BROADCAST	301-20764	69.980578345	Tommy Lugauer
2024-04-06	BROADCAST	301-2609	69.775616143	Marty Lennartz
2024-04-06	BROADCAST	301-20960	68.846398822	Nicole Alvarez
2024-04-06	BROADCAST	301-14767	67.853701765	Cody & Gold
2024-04-06	BROADCAST	301-14972	67.398024308	Scotty Kay
2024-04-06	BROADCAST	301-17621	65.982967202	Glen Macnow and Mike Sielski
2024-04-06	BROADCAST	301-2036	65.966667105	Greg Simms
2024-04-06	BROADCAST	301-17567	65.962844925	Jolene
2024-04-06	BROADCAST	301-18803	65.459331068	Wojo & Riger
2024-04-06	BROADCAST	301-20229	65.391866281	Tom Kelly
2024-04-06	BROADCAST	301-16707	65.062698954	V Hale
2024-04-06	BROADCAST	301-14658	63.339474431	Karen Blake
2024-04-06	BROADCAST	301-21716	63.214384464	Liz Hernandez
2024-04-06	BROADCAST	301-17942	61.880725681	Maggie and Perloff
2024-04-06	BROADCAST	301-12161	61.527469857	Ryan Castle
2024-04-06	BROADCAST	301-12879	61.017590001	Fescoe in the Morning
2024-04-06	BROADCAST	301-13547	60.262561569	Zach Gelb
2024-04-06	BROADCAST	301-19917	60.160328893	Texas Rangers Baseball
2024-04-06	BROADCAST	301-20228	58.390972756	Rob Ellis
2024-04-06	BROADCAST	301-21394	57.948140778	Johnny Mars
2024-04-06	BROADCAST	301-19552	57.873702122	David Bellavia
2024-04-06	BROADCAST	301-21116	57.561174922	Emily West
2024-04-06	BROADCAST	301-19624	57.480876065	SoCal's Weekend Connection
2024-04-06	BROADCAST	301-12229	56.805224161	The Johnny Dare Morning Show
2024-04-06	BROADCAST	301-21492	56.774733521	The Big K Morning Show with Larry Richert and Marty Griffin
2024-04-06	BROADCAST	301-12986	56.626829151	The Tara Show
2024-04-06	BROADCAST	301-476	56.493101944	JACK FM
2024-04-06	BROADCAST	301-2567	56.386731266	Nick Russo
2024-04-06	BROADCAST	301-13538	56.374719267	The Brian Kilmeade Show
2024-04-06	BROADCAST	301-22117	56.034183086	The Rich Keefe Show
2024-04-06	BROADCAST	301-14657	55.738374099	Alice Music
2024-04-06	BROADCAST	301-1233	55.508939775	El Chiquilin Todas Las Mañanas
2024-04-06	BROADCAST	301-650	55.120440771	Gregg & Freddy
2024-04-06	BROADCAST	301-15048	54.906362111	Remy Maxwell
2024-04-06	BROADCAST	301-20127	54.653894185	Boston Red Sox Baseball
2024-04-06	BROADCAST	301-19579	54.569722603	KCBS Radio Morning News
2024-04-06	BROADCAST	301-19553	54.563289594	Tom Bauerle
2024-04-06	BROADCAST	301-17653	54.171004223	The Midday Show with Andy and Randy
2024-04-06	BROADCAST	301-13025	53.703196228	Primetime with Isaac & Suke
2024-04-06	BROADCAST	301-12160	53.579659599	BJ & Migs
2024-04-06	BROADCAST	301-16906	52.987518787	Heather
2024-04-06	BROADCAST	301-12866	52.985963306	Tobin & Leroy
2024-04-06	BROADCAST	301-21071	51.952841993	The Rick Stacy Morning Show
2024-04-06	BROADCAST	301-2157	51.787763682	Total Information AM
2024-04-06	BROADCAST	301-809	51.28160483	The Dom Giordano Program
2024-04-06	BROADCAST	301-12232	51.090288838	Ryan Westward
2024-04-06	BROADCAST	301-22296	50.906418226	1010 WINS Middays
2024-04-06	BROADCAST	301-13520	50.627207219	The Marc Cox Morning Show
2024-04-06	BROADCAST	301-12508	50.422045818	Theressa Brown
2024-04-06	BROADCAST	301-239	50.197833432	The Mark Reardon Show
2024-04-06	BROADCAST	301-22203	50.051137706	L.A.'s Afternoon News with Rob Archer, Karen Adams, & Brian Douglas
2024-04-06	BROADCAST	301-12543	50.037441268	Steve Suter
2024-04-06	BROADCAST	301-17965	49.004406616	Fox Sports Radio
2024-04-06	BROADCAST	301-17129	48.735258886	Rob & Holly
2024-04-06	BROADCAST	301-18039	48.648324824	Sabres Live
2024-04-06	BROADCAST	301-14829	48.535500711	Tom Cook
2024-04-06	BROADCAST	301-12586	48.065435178	The Break Room
2024-04-06	BROADCAST	301-16848	48.029475894	Bru
